Blekinge	 Karlskrona	 Karlskrona	 Blekingesjukhuset	 Apoteket Eken	 Grupp 7 (Vårdapoteket i Norden)
Dalarna	 Ludvika	 Grängesberg	 Örabergsvägen 5	 Apoteket Dalporten	 Grupp 1 (Apotek Hjärtat)
Dalarna	 Avesta	 Avesta	 Markustorget 1	 Apoteket Kronan	 Kvar i Apoteket AB
Dalarna	 Avesta	 Avesta	 Lasarettet	 Apoteket Visenten EA	 Kvar i Apoteket AB
Dalarna	 Hedemora	 Hedemora	 Hökargatan 4	 Apoteket Gustaf Wasa	 Grupp 1 (Apotek Hjärtat)
Dalarna	 Hedemora	 Långshyttan	 Hyttgatan 5	 Apoteket Tidlösan	 Grupp 1 (Apotek Hjärtat)
Dalarna	 Säter	 Säter	 Östra Långgatan 10	 Apoteket Daldockan	 Grupp 2 (Kronans Droghandel)
Dalarna	 Falun	 Svärdsjö	 Industrivägen 1	 Apoteket Kråkan	 Kvar i Apoteket AB
Dalarna	 Falun	 Falun	 Lasarettet	 Apoteket Falu lasarett EA	 Kvar i Apoteket AB
Dalarna	 Avesta	 Horndal	 Åsvägen 3	 Apoteket Blåklockan	 Kvar i Apoteket AB
Dalarna	 Ludvika	 Ludvika	 Vårdcentralen Solsidan	 Apoteket Solsidan	 Kvar i Apoteket AB
Dalarna	 Falun	 Falun	 Drottningvägen 1	 Apoteket	 Grupp 2 (Kronans Droghandel)
Dalarna	 Leksand	 Leksand	 Leksandsvägen 2	 Apoteket Leksand	 Kvar i Apoteket AB
Dalarna	 Mora	 Mora	 Kyrkogatan 27	 Apoteket Örnen	 Grupp 2 (Kronans Droghandel)
Dalarna	 Mora	 Mora	 Lasarettet	 Apoteket Bävern EA	 Kvar i Apoteket AB
Dalarna	 Gagnef	 Gagnef	 Djurås Centrum	 Apoteket Djurås	 Kvar i Apoteket AB
Dalarna	 Orsa	 Orsa	 Centralgatan 2	 Apoteket Berguven	 Grupp 1 (Apotek Hjärtat)
Dalarna	 Rättvik	 Rättvik	 Vasagatan 2	 Apoteket Kronan	 Småföretagare
Dalarna	 Vansbro	 Vansbro	 Allégatan 30	 Apoteket Tallen	 Kvar i Apoteket AB
Dalarna	 Malung	 Malung	 Lisagatan 37	 Apoteket Hästhoven	 Grupp 2 (Kronans Droghandel)
Dalarna	 Malung	 Lima	 Vårdcentralen	 Apoteket Lima	 Grupp 2 (Kronans Droghandel)
Dalarna	 Älvdalen	 Älvdalen	 Furuvägen 3	 Apoteket Björnen	 Kvar i Apoteket AB
Dalarna	 Älvdalen	 Särna	 Vårdcentralen	 Apoteket	 Kvar i Apoteket AB
Dalarna	 Malung	 Sälen	 Centrumhuset	 Apoteket Dalripan	 Grupp 2 (Kronans Droghandel)
Dalarna	 Borlänge	 Borlänge	 Kupolens Köpcentrum Entré 1	 Apoteket Kupolen	 Grupp 2 (Kronans Droghandel)
Dalarna	 Falun	 Falun	 Kopparvägen 28	 Apoteket Norslund-Origo	 Småföretagare
Dalarna	 Falun	 Falun	 Holmgatan 26	 Apoteket Shop Falun	 Kvar i Apoteket AB
Dalarna	 Borlänge	 Borlänge	 Kupolen 13	 Apoteket Shop Kupolen	 Kvar i Apoteket AB
Gotland	 Gotland	 Visby	 Österväg 7	 Apoteket Liljan	 Kvar i Apoteket AB
Gotland	 Gotland	 Hemse	 Hagagatan 30	 Apoteket Kronan	 Småföretagare
Gotland	 Gotland	 Klintehamn	 Verkstadsgatan 9	 Apoteket Törden	 Grupp 2 (Kronans Droghandel)
Gotland	 Gotland	 Slite	 Tullhagsplan 2A	 Apoteket Rindi	 Grupp 2 (Kronans Droghandel)
Gotland	 Gotland	 Visby	 Sankt Göransgatan 5	 Apoteket Strandskatan	 Kvar i Apoteket AB
Gotland	 Gotland	 Visby	 Skarphällsgatan 8	 Apoteket Rosen	 Grupp 2 (Kronans Droghandel)
Gotland	 Gotland	 Romakloster	 Visbyvägen 33	 Apoteket Cikorian	 Småföretagare
Gävleborg	 Gävle	 Gävle	 N. Slottsgatan 5 Drottninggatan 12	 Apoteket Lejonet	 Grupp 1 (Apotek Hjärtat)
Gävleborg	 Gävle	 Gävle	 Huvudentren Gävle sjukhus	 Apoteket Syrenen	 Kvar i Apoteket AB
Gävleborg	 Gävle	 Gävle	 G:a Bönavägen 19	 Apoteket Svanen	 Småföretagare
Gävleborg	 Gävle	 Hedesunda	 Hälsocentralen	 Apoteket Myggan	 Grupp 2 (Kronans Droghandel)
Gävleborg	 Gävle	 Gävle	 Solgårdsgatan 2	 Apoteket Kronan	 Småföretagare
Gävleborg	 Gävle	 Gävle	 Sätra Centrum	 Apoteket Pilen	 Småföretagare
Gävleborg	 Gävle	 Valbo	 Valbo Köpcentrum	 Apoteket Valen	 Grupp 2 (Kronans Droghandel)
Gävleborg	 Gävle	 Gävle	 Vinddraget 18	 Apoteket Konvaljen	 Grupp 1 (Apotek Hjärtat)
Gävleborg	 Gävle	 Gävle	 Kaserngatan 48	 Apoteket Tre Ankare	 Grupp 2 (Kronans Droghandel)
Gävleborg	 Sandviken	 Sandviken	 Köpmangatan 9	 Apoteket Örnen	 Grupp 2 (Kronans Droghandel)
Gävleborg	 Sandviken	 Sandviken	 Lasarettleden	 Apoteket Tjädern	 Småföretagare
Gävleborg	 Sandviken	 Storvik	 Thore Petregatan 47	 Apoteket Duvan	 Kvar i Apoteket AB
Gävleborg	 Hofors	 Hofors	 Skolgatan 11	 Apoteket Orren	 Småföretagare
Gävleborg	 Ockelbo	 Ockelbo	 Södra Åsgatan 34	 Apoteket Kronan	 Grupp 2 (Kronans Droghandel)
Gävleborg	 Söderhamn	 Söderhamn	 Skolhusgatan 3B	 Apoteket Hjorten	 Grupp 1 (Apotek Hjärtat)
Gävleborg	 Söderhamn	 Ljusne	 Nygatan 6	 Apoteket Kastanjen	 Grupp 1 (Apotek Hjärtat)
Gävleborg	 Ljusdal	 Ljusdal	 Bokhandlargränd 6	 Apoteket Bävern	 Grupp 2 (Kronans Droghandel)
Gävleborg	 Ljusdal	 Järvsö	 Stationsgatan 37	 Apoteket Kronan	 Grupp 1 (Apotek Hjärtat)
Gävleborg	 Ljusdal	 Färila	 Annbacksvägen 14	 Apoteket Granen	 Grupp 2 (Kronans Droghandel)
Gävleborg	 Ovanåker	 Edsbyn	 Sporthallsvägen 2	 Apoteket Svanen	 Grupp 1 (Apotek Hjärtat)
Gävleborg	 Hudiksvall	 Hudiksvall	 Hudiksvalls sjukhus	 Apoteket Stjärnan	 Kvar i Apoteket AB
Gävleborg	 Nordanstig	 Harmånger	 Backvägen 3	 Apoteket Lokatten	 Kvar i Apoteket AB
Gävleborg	 Hudiksvall	 Iggesund	 Skolgatan	 Apoteket Rönnen	 Kvar i Apoteket AB
Gävleborg	 Hudiksvall	 Hudiksvall	 Drottninggatan 10	 Apoteket Kronan	 Grupp 2 (Kronans Droghandel)
Gävleborg	 Bollnäs	 Kilafors	 Stationsgatan 2	 Apoteket Tuppen	 Grupp 1 (Apotek Hjärtat)
Gävleborg	 Ovanåker	 Alfta	 Långgatan 44	 Apoteket Nordstjärnan	 Kvar i Apoteket AB
Gävleborg	 Bollnäs	 Arbrå	 Stationsesplanaden 10	 Apoteket Tranan	 Grupp 1 (Apotek Hjärtat)
Gävleborg	 Bollnäs	 Bollnäs	 Bollnäs sjukhus	 Apoteket Linblomman	 Kvar i Apoteket AB
Gävleborg	 Bollnäs	 Bollnäs	 Nygatan 8	 Apoteket Hjorten	 Grupp 1 (Apotek Hjärtat)
Gävleborg	 Nordanstig	 Bergsjö	 Järnvägstorget	 Apoteket Björnen	 Kvar i Apoteket AB
Gävleborg	 Hudiksvall	 Delsbo	 Björkgatan 3	 Apoteket Furan	 Grupp 2 (Kronans Droghandel)
Gävleborg	 Söderhamn	 Bergvik	 H C Linden	 Apoteket Linden	 Grupp 1 (Apotek Hjärtat)
Gävleborg	 Gävle	 Hamrånge	 Solbergsvägen 5	 Apoteket Mården	 Kvar i Apoteket AB
Gävleborg	 Gävle	 Gävle	 Ingenjörsgatan 5	 Apoteket Hermelinen	 Grupp 1 (Apotek Hjärtat)
Halland	 Varberg	 Varberg	 Torggatan 19	 Apoteket Kronan	 Grupp 4 (Medstop)
Halland	 Varberg	 Tvååker	 Vårdcentralen Fogdevägen 1	 Apoteket Uttern	 Småföretagare
Halland	 Falkenberg	 Ullared	 Danska vägen 1	 Apoteket Kronan	 Småföretagare
Halland	 Varberg	 Veddige	 Vårdcentralen Ringvägen 11	 Apoteket Biet	 Småföretagare
Halland	 Varberg	 Varberg	 Träslövsvägen Sjukhuset	 Apoteket Måsen	 Kvar i Apoteket AB
Halland	 Kungsbacka	 Kungsbacka	 Kyrkogatan 6	 Apoteket Kronan	 Grupp 4 (Medstop)
Halland	 Kungsbacka	 Åsa	 Pölagårdsvägen 29	 Apoteket Snäckan	 Kvar i Apoteket AB
Halland	 Halmstad	 Oskarström	 Ågatan 25	 Apoteket Strömstaren	 Kvar i Apoteket AB
Halland	 Laholm	 Knäred	 Vårdcentralen	 Apoteket Forellen	 Kvar i Apoteket AB
Halland	 Laholm	 Laholm	 Stortorget 9	 Apoteket Kronan	 Grupp 1 (Apotek Hjärtat)
Halland	 Falkenberg	 Falkenberg	 Nygatan 38	 Apoteket Lejonet	 Grupp 4 (Medstop)
Halland	 Halmstad	 Halmstad	 Vallås Centrum	 Apoteket Vipan	 Kvar i Apoteket AB
Halland	 Halmstad	 Halmstad	 Nyhems torg	 Apoteket Svalan	 Grupp 1 (Apotek Hjärtat)
Halland	 Halmstad	 Halmstad	 lasarettsvägen	 Apoteket Berguven	 Kvar i Apoteket AB
Halland	 Hylte	 Unnaryd	 Torget 1	 Apoteket Anden	 Kvar i Apoteket AB
Halland	 Hylte	 Hyltebruk	 Storgatan 8	 Apoteket Tjädern	 Kvar i Apoteket AB
Halland	 Hylte	 Torup	 G:a Nissastigen 27	 Apoteket Trasten	 Grupp 1 (Apotek Hjärtat)
Halland	 Halmstad	 Halmstad	 Bäckagårds Vårdcentral	 Apoteket Lärkan	 Småföretagare
Halland	 Halmstad	 Halmstad	 Storgatan 14	 Apoteket Vakteln	 Kvar i Apoteket AB
Halland	 Kungsbacka	 Särö	 Vårdcentralen	 Apoteket Hägern	 Kvar i Apoteket AB
Halland	 Kungsbacka	 Onsala	 Mariedalsvägen 6 Vårdcentralen	 Apoteket Sälen	 Kvar i Apoteket AB
Halland	 Halmstad	 Getinge	 Doktorsgatan 4	 Apoteket Ekorren	 Småföretagare
Halland	 Kungsbacka	 Kungsbacka	 Kungsmässan Borgmästargatan 5	 Apoteket Shop Kungsbacka	 Kvar i Apoteket AB
Halland	 Kungsbacka	 Kungsbacka	 Tölövägen 7	 Apoteket Tärnan	 Småföretagare
Halland	 Varberg	 Varberg	 Västra Vallgatan 8A	 Apoteket Gladan	 Småföretagare
Halland	 Halmstad	 Halmstad	 Prästvägen Eurostop	 Apoteket Laxen	 Grupp 2 (Kronans Droghandel)
Halland	 Halmstad	 Halmstad	 Storgatan 34	 Apoteket Shop Halmstad	 Kvar i Apoteket AB
Halland	 Falkenberg	 Falkenberg	 Gallerian Stortorget 1	 Apoteket Falken	 Kvar i Apoteket AB
Halland	 Kungsbacka	 Kungsbacka	 Kungsmässan	 Apoteket Kungsörnen	 Grupp 1 (Apotek Hjärtat)
Jämtland	 Östersund	 Östersund	 Östersunds sjukhus	 Apoteket Nornan	 Kvar i Apoteket AB
Jämtland	 Östersund	 Frösön	 Önevägen 8	 Apoteket Biet	 Kvar i Apoteket AB
Jämtland	 Strömsund	 Strömsund	 Amaliagatan 2C	 Apoteket Älgen	 Kvar i Apoteket AB
Jämtland	 Strömsund	 Gäddede	 Läkarvägen 6	 Apoteket Fjällämmeln	 Kvar i Apoteket AB
Jämtland	 Strömsund	 Hammerdal	 Storgatan 40B	 Apoteket Björnen	 Kvar i Apoteket AB
Jämtland	 Strömsund	 Backe	 Torgvägen	 Apoteket Kronan	 Kvar i Apoteket AB
Jämtland	 Berg	 Svenstavik	 Vallmovägen 2	 Apoteket Blåsippan	 Grupp 2 (Kronans Droghandel)
Jämtland	 Bräcke	 Bräcke	 Centralstationen	 Apoteket Mården	 Kvar i Apoteket AB
Jämtland	 Ragunda	 Hammarstrand	 Centralgatan 24	 Apoteket Wildhussen	 Småföretagare
Jämtland	 Östersund	 Lit	 Sörevägen 8D	 Apoteket Häggen	 Grupp 1 (Apotek Hjärtat)
Jämtland	 Krokom	 Föllinge	 Storgatan 4	 Apoteket Lokatten	 Kvar i Apoteket AB
Jämtland	 Krokom	 Krokom	 Genvägen 2A	 Apoteket Svanen	 Kvar i Apoteket AB
Jämtland	 Östersund	 Brunflo	 Gränsvägen 20	 Apoteket Brunkullan	 Grupp 2 (Kronans Droghandel)
Jämtland	 Östersund	 Östersund	 Klövervägen 2	 Apoteket Oden	 Grupp 2 (Kronans Droghandel)
Jämtland	 Östersund	 Östersund	 Prästgatan 51	 Apoteket Hjorten	 Grupp 1 (Apotek Hjärtat)
Jämtland	 Åre	 Åre	 Årevägen 51	 Apoteket Karolinen	 Småföretagare
Jämtland	 Åre	 Järpen	 Gastkullevägen 1	 Apoteket Fjällbjörken	 Småföretagare
Jämtland	 Härjedalen	 Funäsdalen	 Rörosvägen 35	 Apoteket Ripan	 Grupp 1 (Apotek Hjärtat)
Jämtland	 Härjedalen	 Hede	 Storgatan 18B	 Apoteket Mosippan	 Grupp 1 (Apotek Hjärtat)
Jämtland	 Härjedalen	 Sveg	 Vallarvägen 8	 Apoteket Tjädern	 Grupp 1 (Apotek Hjärtat)
Jämtland	 Krokom	 Offerdal	 Hälsocentralen	 Apoteket Änge	 Kvar i Apoteket AB
Jämtland	 Strömsund	 Hoting	 Hälsocentralen	 Apoteket Björken	 Kvar i Apoteket AB
Jämtland	 Östersund	 Östersund	 Chaufförvägen 27A	 Apoteket Örnen	 Kvar i Apoteket AB
Jönköping	 Habo	 Habo	 Vårdcentrum Kärrsvägen 37	 Apoteket Lärkan	 Kvar i Apoteket AB
Jönköping	 Mullsjö	 Mullsjö	 Kyrkvägen 10	 Apoteket Ärlan	 Grupp 2 (Kronans Droghandel)
Jönköping	 Jönköping	 Jönköping	 Fabriksgatan 19	 Apoteket Tre Rosor	 Grupp 2 (Kronans Droghandel)
Jönköping	 Jönköping	 Jönköping	 Smedjegatan 2	 Apoteket Lejonet	 Grupp 1 (Apotek Hjärtat)
Jönköping	 Värnamo	 Värnamo	 Vråenvägen 31	 Apoteket Vråen	 Grupp 1 (Apotek Hjärtat)
Jönköping	 Jönköping	 Jönköping	 Tornfalksgatan 11	 Apoteket Ugglan	 Småföretagare
Jönköping	 Jönköping	 Jönköping	 Rosenlunds vårdcentrum	 Apoteket Rosenlund	 Småföretagare
Jönköping	 Jönköping	 Bankeryd	 Sjöåkravägen 18	 Apoteket Ekorren	 Kvar i Apoteket AB
Jönköping	 Jönköping	 Norrahammar	 Postgatan 7	 Apoteket Nyponet	 Kvar i Apoteket AB
Jönköping	 Jönköping	 Gränna	 Hävdevägen 31	 Apoteket Kronan	 Grupp 2 (Kronans Droghandel)
Jönköping	 Jönköping	 Huskvarna	 Jönköpingsvägen 19	 Apoteket Svanen	 Grupp 2 (Kronans Droghandel)
Jönköping	 Jönköping	 Huskvarna	 Öxnehaga vårdcentral	 Apoteket Lärkan	 Grupp 2 (Kronans Droghandel)
Jönköping	 Gislaved	 Smålandsstenar	 Torggatan 4-6	 Apoteket Enen	 Småföretagare
Jönköping	 Gislaved	 Reftele	 Vårdcentralen Järnvägsgatan 24	 Apoteket Hägern	 Grupp 1 (Apotek Hjärtat)
Jönköping	 Gnosjö	 Gnosjö	 Järnvägsgatan 49	 Apoteket Tranan	 Småföretagare
Jönköping	 Gislaved	 Anderstorp	 Storgatan 25	 Apoteket Uttern	 Grupp 2 (Kronans Droghandel)
Jönköping	 Gislaved	 Gislaved	 Köpmangatan 3A	 Apoteket Hjorten	 Grupp 2 (Kronans Droghandel)
Jönköping	 Vaggeryd	 Vaggeryd	 Linnégatan 7	 Apoteket Hinden	 Småföretagare
Jönköping	 Vaggeryd	 Skillingaryd	 Ljungbergsgatan 2	 Apoteket Linnean	 Grupp 2 (Kronans Droghandel)
Jönköping	 Värnamo	 Värnamo	 Doktorsgatan	 Apoteket Vågen	 Kvar i Apoteket AB
Jönköping	 Värnamo	 Värnamo	 Myntgatan 13	 Apoteket Kronan	 Grupp 2 (Kronans Droghandel)
Jönköping	 Jönköping	 Jönköping	 A6-center Kompanigatan 3	 Apoteket Knekten	 Grupp 1 (Apotek Hjärtat)
Jönköping	 Eksjö	 Eksjö	 Lasarettsvägen	 Apoteket Lejonet	 Kvar i Apoteket AB
Jönköping	 Vetlanda	 Vetlanda	 Storgatan 5	 Apoteket Lejonet	 Kvar i Apoteket AB
Jönköping	 Tranås	 Tranås	 Storgatan 30	 Apoteket Örnen	 Grupp 2 (Kronans Droghandel)
Jönköping	 Nässjö	 Bodafors	 Torget 1	 Apoteket Strömstaren	 Grupp 1 (Apotek Hjärtat)
Jönköping	 Nässjö	 Nässjö	 Skansgatan 9	 Apoteket Eken	 Grupp 2 (Kronans Droghandel)
Jönköping	 Nässjö	 Nässjö	 Rådhusgatan 30	 Apoteket Kronan	 Grupp 1 (Apotek Hjärtat)
Jönköping	 Aneby	 Aneby	 Storgatan 51	 Apoteket Mården	 Småföretagare
Jönköping	 Eksjö	 Mariannelund	 Esmarchgatan 1	 Apoteket Furan	 Kvar i Apoteket AB
Jönköping	 Sävsjö	 Sävsjö	 Västra Järnvägsgatan 11	 Apoteket Kronan	 Grupp 2 (Kronans Droghandel)
Jönköping	 Sävsjö	 Vrigstad	 Jönköpingsvägen 3	 Apoteket Kronan	 Grupp 1 (Apotek Hjärtat)
Jönköping	 Jönköping	 Jönköping	 Länssjukhuset Ryhov	 Apoteket Ryhov	 Kvar i Apoteket AB
Jönköping	 Vetlanda	 Landsbro	 Valåkravägen 1	 Apoteket Älgen	 Grupp 2 (Kronans Droghandel)
Jönköping	 Värnamo	 Rydaholm	 Dahlgrens väg	 Apoteket Alnen	 Kvar i Apoteket AB
Jönköping	 Eksjö	 Eksjö	 Norra Storgatan	 Apoteket Tigern	 Grupp 2 (Kronans Droghandel)
Kalmar	 Västervik	 Västervik	 Östra Kyrkogatan 48	 Apoteket Lejonet	 Kvar i Apoteket AB
Kalmar	 Hultsfred	 Virserum	 Storgatan 22	 Apoteket Anden	 Grupp 2 (Kronans Droghandel)
Kalmar	 Hultsfred	 Hultsfred	 Bryggerigatan 2	 Apoteket Kronan	 Kvar i Apoteket AB
Kalmar	 Oskarshamn	 Oskarshamn	 Oskarshamns sjukhus	 Apoteket Blå Jungfrun	 Grupp 1 (Apotek Hjärtat)
Kalmar	 Oskarshamn	 Oskarshamn	 Stora Torget 3	 Apoteket Lejonet	 Kvar i Apoteket AB
Kalmar	 Högsby	 Högsby	 Storgatan 21	 Apoteket Malen	 Kvar i Apoteket AB
Kalmar	 Mönsterås	 Mönsterås	 Häradshövdingegatan 3	 Apoteket Kronan	 Småföretagare
Kalmar	 Västervik	 Ankarsrum	 Kungsvägen 40	 Apoteket Gladan	 Grupp 1 (Apotek Hjärtat)
Kalmar	 Västervik	 Gamleby	 Gamleby Centrum	 Apoteket Uttern	 Grupp 1 (Apotek Hjärtat)
Kalmar	 Västervik	 Överum	 Bruksgatan 16	 Apoteket Bikupan	 Grupp 2 (Kronans Droghandel)
Kalmar	 Vimmerby	 Vimmerby	 Norrtullsgatan 5	 Apoteket Tranan	 Grupp 1 (Apotek Hjärtat)
Kalmar	 Emmaboda	 Emmaboda	 Järnvägsgatan 26	 Apoteket Linnean	 Småföretagare
Kalmar	 Mörbylånga	 Mörbylånga	 Köpmangatan 17	 Apoteket Kronan	 Kvar i Apoteket AB
Kalmar	 Borgholm	 Borgholm	 Storgatan 14	 Apoteket Hjorten	 Småföretagare
Kalmar	 Kalmar	 Kalmar	 Berga Centrum	 Apoteket Hinden	 Kvar i Apoteket AB
Kalmar	 Kalmar	 Kalmar	 Lasarettsvägen	 Apoteket Sundet	 Kvar i Apoteket AB
Kalmar	 Kalmar	 Kalmar	 Västra Sjögatan 22	 Apoteket Lejonet	 Småföretagare
Kalmar	 Mörbylånga	 Färjestaden	 Ölands Köpstad	 Apoteket Näktergalen	 Småföretagare
Kalmar	 Kalmar	 Kalmar	 Förlösavägen 4	 Apoteket Solvändan	 Kvar i Apoteket AB
Kalmar	 Kalmar	 Ljungbyholm	 Tunnbindarevägen 4	 Apoteket Tärnan	 Grupp 1 (Apotek Hjärtat)
Kalmar	 Nybro	 Nybro	 Storgatan 6	 Apoteket Örnen	 Grupp 1 (Apotek Hjärtat)
Kalmar	 Hultsfred	 Mörlunda	 Doktorsvägen 6	 Apoteket Svalan	 Grupp 1 (Apotek Hjärtat)
Kalmar	 Kalmar	 Kalmar	 Ingelstorpsvägen 1	 Apoteket Hästhoven	 Grupp 1 (Apotek Hjärtat)
Kalmar	 Torsås	 Torsås	 Norra Tångvägen 3	 Apoteket Vildrosen	 Grupp 2 (Kronans Droghandel)
Kalmar	 Mönsterås	 Blomstermåla	 Vårdcentralen	 Apoteket Guldfisken	 Grupp 1 (Apotek Hjärtat)
Kalmar	 Kalmar	 Kalmar	 Polhemsgatan 13	 Apoteket Giraffen	 Grupp 2 (Kronans Droghandel)
Kalmar	 Borgholm	 Löttorp	 Löttorpsvägen 57	 Apoteket Brunkullan	 Grupp 1 (Apotek Hjärtat)
Kalmar	 Kalmar	 Kalmar	 Baronen Köpcentrum Skeppsbrogatan 12	 Apoteket Shop Baronen	 Kvar i Apoteket AB
Kalmar	 Västervik	 Västervik	 Fiskartorget	 Apoteket Gudingen	 Grupp 2 (Kronans Droghandel)
Kronoberg	 Växjö	 Växjö	 Linnégallerian Klostergatan 10-12	 Apoteket Lejonet	 Grupp 2 (Kronans Droghandel)
Kronoberg	 Växjö	 Växjö	 Vallviksvägen 1	 Apoteket Teleborg	 Småföretagare
Kronoberg	 Växjö	 Växjö	 Brittsommarvägen 2A	 Linnéapoteket	 Grupp 1 (Apotek Hjärtat)
Kronoberg	 Växjö	 Växjö	 Centrallasarettet	 Apoteket Måsen	 Grupp 7 (Vårdapoteket i Norden)
Kronoberg	 Växjö	 Lammhult	 Centrumgatan 6	 Apoteket Storken	 Grupp 1 (Apotek Hjärtat)
Kronoberg	 Älmhult	 Älmhult	 Norra Esplanaden 6	 Apoteket Kronan	 Grupp 1 (Apotek Hjärtat)
Kronoberg	 Alvesta	 Vislanda	 Postgatan 6	 Apoteket Linden	 Grupp 2 (Kronans Droghandel)
Kronoberg	 Alvesta	 Moheda	 Storgatan 2 Vårdcentralen	 Apoteket Svalan	 Grupp 2 (Kronans Droghandel)
Kronoberg	 Alvesta	 Alvesta	 Storgatan 14D	 Apoteket Svanen	 Kvar i Apoteket AB
Kronoberg	 Markaryd	 Strömsnäsbruk	 Lagastigsgatan 59	 Apoteket Tranan	 Grupp 5 (Medstop)
Kronoberg	 Ljungby	 Lagan	 Värnamovägen 8	 Apoteket Anden	 Grupp 1 (Apotek Hjärtat)
Kronoberg	 Ljungby	 Ljungby	 Lasarettet Kyrkogatan 2	 Apoteket Pärlan	 Grupp 7 (Vårdapoteket i Norden)
Kronoberg	 Ljungby	 Ljungby	 Eskilsgatan 5	 Apoteket Kronan	 Kvar i Apoteket AB
Kronoberg	 Markaryd	 Markaryd	 Kungsgatan 36B	 Apoteket Svanen	 Kvar i Apoteket AB
Kronoberg	 Tingsryd	 Tingsryd	 Storgatan 87	 Apoteket Uttern	 Kvar i Apoteket AB
Kronoberg	 Tingsryd	 Ryd	 Hantverkaregatan 6	 Apoteket Bäckasinen	 Grupp 1 (Apotek Hjärtat)
Kronoberg	 Lessebo	 Lessebo	 Storgatan 71	 Apoteket Örnen	 Kvar i Apoteket AB
Kronoberg	 Uppvidinge	 Åseda	 Olofsgatan 11	 Apoteket Ripan	 Småföretagare
Kronoberg	 Uppvidinge	 Lenhovda	 Storgatan 31	 Apoteket Älgen	 Småföretagare
Kronoberg	 Växjö	 Ingelstad	 Helenetorpsvägen 2	 Apoteket Elgen	 Grupp 2 (Kronans Droghandel)
Kronoberg	 Växjö	 Rottne	 Löpanäsvägen 5	 Apoteket Lommen	 Grupp 1 (Apotek Hjärtat)
Kronoberg	 Växjö	 Växjö	 Birkagatan 24A	 Apoteket Birka	 Kvar i Apoteket AB
Kronoberg	 Växjö	 Växjö	 Storgatan 25	 Apoteket Shop Växjö	 Kvar i Apoteket AB
Norrbotten	 Luleå	 Luleå	 Storgatan 44	 Apoteket Lejonet	 Kvar i Apoteket AB
Norrbotten	 Luleå	 Gammelstad	 Stadsötorget 9	 Apoteket Gammelstad	 Kvar i Apoteket AB
Norrbotten	 Luleå	 Luleå	 Höstvägen 7	 Apoteket Björkskatan	 Grupp 1 (Apotek Hjärtat)
Norrbotten	 Luleå	 Luleå	 Producentvägen 4	 Apoteket Humlan	 Grupp 2 (Kronans Droghandel)
Norrbotten	 Luleå	 Råneå	 Klockarvägen 1A	 Apoteket Uttern	 Kvar i Apoteket AB
Norrbotten	 Luleå	 Luleå	 Mjölkuddsvägen 73	 Apoteket Skeppet	 Grupp 1 (Apotek Hjärtat)
